Temp,Light,Sound,Label
25.0,85,0,cafeteria
25.0,112,0,cafeteria
25.0,90,0,cafeteria
25.0,94,0,cafeteria
25.0,112,0,cafeteria
25.0,90,0,cafeteria
25.0,94,0,cafeteria
25.0,115,0,cafeteria
25.0,95,0,cafeteria
25.0,90,0,cafeteria
25.0,117,0,cafeteria
25.0,97,0,cafeteria
25.0,93,0,cafeteria
25.0,119,0,cafeteria
25.0,100,0,cafeteria
25.0,87,0,cafeteria
25.0,115,0,cafeteria
25.0,103,0,cafeteria
25.0,87,0,cafeteria
25.0,107,0,cafeteria
25.0,107,0,cafeteria
25.0,88,0,cafeteria
25.0,94,0,cafeteria
25.0,114,0,cafeteria
25.0,94,0,cafeteria
25.0,89,0,cafeteria
25.0,117,0,cafeteria
25.0,104,0,cafeteria
